Year,Capacity,Installed,Y/Y,Country
2000,19,NA,NA,China
2001,24,5,1.26316,China
2002,42,18,1.75000,China
2003,52,10,1.23810,China
2004,62,10,1.19231,China
2005,70,8,1.12903,China
2006,80,10,1.14286,China
2007,100,20,1.25000,China
2008,140,40,1.40000,China
2009,300,160,2.14286,China
2010,800,500,2.66667,China
2011,3300,2500,4.12500,China
2012,7000,3700,2.12121,China
2013,18300,11300,2.61429,China
2014,28199,9899,1.54093,China
2015,43530,15331,1.54367,China
2016,70598,27068,1.62182,China
2017,114497,43899,1.62182,China
2018,185693,71196,1.62182,China
2019,301160,115467,1.62182,China
2020,488427,187267,1.62182,China
2021,792140,303713,1.62182,China
2022,1284707,492567,1.62182,China
2023,2083561,798854,1.62182,China
2024,3379157,1295596,1.62182,China
2000,493,NA,NA,USA
2001,543,50,1.10142,USA
2002,555,12,1.02210,USA
2003,534,-21,0.96216,USA
2004,575,41,1.07678,USA
2005,551,-24,0.95826,USA
2006,508,-43,0.92196,USA
2007,612,104,1.20472,USA
2008,864,252,1.41176,USA
2009,892,28,1.03241,USA
2010,1212,320,1.35874,USA
2011,1818,606,1.50000,USA
2012,4327,2509,2.38009,USA
2013,9253,4926,2.13843,USA
2014,18321,9068,1.98001,USA
2015,26473,8152,1.44495,USA
2016,33957,7484,1.28269,USA
2017,43556,9599,1.28269,USA
2018,55869,12313,1.28269,USA
2019,71663,15794,1.28269,USA
2020,91921,20258,1.28269,USA
2021,117906,25985,1.28269,USA
2022,151237,33331,1.28269,USA
2023,193991,42754,1.28269,USA
2024,248830,54840,1.28269,USA
2000,1844,NA,NA,Germany
2001,1859,15,1.00813,Germany
2002,1949,90,1.04841,Germany
2003,2238,289,1.14828,Germany
2004,2253,15,1.00670,Germany
2005,3252,999,1.44341,Germany
2006,3907,655,1.20141,Germany
2007,4531,624,1.15971,Germany
2008,4671,140,1.03090,Germany
2009,4323,-348,0.92550,Germany
2010,4781,458,1.10594,Germany
2011,4755,-26,0.99456,Germany
2012,4951,196,1.04122,Germany
2013,5415,464,1.09372,Germany
2014,6069,654,1.12078,Germany
2015,5800,-269,0.95568,Germany
2016,6231,431,1.07425,Germany
2017,6693,463,1.07425,Germany
2018,7190,497,1.07425,Germany
2019,7724,534,1.07425,Germany
2020,8298,573,1.07425,Germany
2021,8914,616,1.07425,Germany
2022,9575,662,1.07425,Germany
2023,10286,711,1.07425,Germany
2024,11050,764,1.07425,Germany
2000,330,NA,NA,Japan
2001,453,123,1.37273,Japan
2002,637,184,1.40618,Japan
2003,860,223,1.35008,Japan
2004,1132,272,1.31628,Japan
2005,1422,290,1.25618,Japan
2006,1709,287,1.20183,Japan
2007,1919,210,1.12288,Japan
2008,2144,225,1.11725,Japan
2009,2627,483,1.22528,Japan
2010,3618,991,1.37724,Japan
2011,4914,1296,1.35821,Japan
2012,6632,1718,1.34961,Japan
2013,13599,6967,2.05051,Japan
2014,23339,9740,1.71623,Japan
2015,34150,10811,1.46322,Japan
2016,45637,11487,1.33638,Japan
2017,60989,15351,1.33638,Japan
2018,81504,20515,1.33638,Japan
2019,108921,27416,1.33638,Japan
2020,145559,36639,1.33638,Japan
2021,194522,48963,1.33638,Japan
2022,259956,65433,1.33638,Japan
2023,347399,87444,1.33638,Japan
2024,464257,116858,1.33638,Japan
2000,1250,NA,NA,World
2001,1615,365,1.29200,World
2002,2069,454,1.28111,World
2003,2635,566,1.27356,World
2004,3723,1088,1.41290,World
2005,5112,1389,1.37309,World
2006,6660,1548,1.30282,World
2007,9183,2523,1.37883,World
2008,15844,6661,1.72536,World
2009,23185,7341,1.46333,World
2010,40336,17151,1.73975,World
2011,70469,30133,1.74705,World
2012,100504,30035,1.42622,World
2013,138856,38352,1.38160,World
2014,178391,39535,1.28472,World
2015,229300,50909,1.28538,World
2016,317594,88294,1.38506,World
2017,439887,122293,1.38506,World
2018,609269,169382,1.38506,World
2019,843874,234605,1.38506,World
2020,1168815,324942,1.38506,World
2021,1618879,450063,1.38506,World
2022,2242243,623364,1.38506,World
2023,3105640,863397,1.38506,World
2024,4301495,1195856,1.38506,World
